dataset_name,LSTM-FCN,LF-MRM2,FCN,FCN-MRM2,ResNet,RN-MRM2,OS-CNN,OC-MRM2,InceptionTime,IT-MRM2,TapNet,WEASEL+MUSE,ED-1NN,DTW-1NN-I,DTW-1NND,ED-1NN(norm),DTW-1NN-I(norm),DTW-1NND(norm)
ArticularyWordRecognition,0.987,0.993,0.983,0.983,0.983,0.987,0.99,0.993,0.987,0.99,0.987,0.99,0.97,0.98,0.987,0.97,0.98,0.987
AtrialFibrillation,0.267,0.333,0.2,0.267,0.2,0.267,0.267,0.267,0.333,0.333,0.333,0.333,0.267,0.267,0.2,0.267,0.267,0.22
BasicMotions,1,1,1,1,1,1,1,1,1,1,1,1,0.675,1,0.975,0.676,1,0.975
CharacterTrajectories,0.996,0.996,0.997,0.998,0.996,0.997,0.997,0.997,0.995,0.997,0.997,0.99,0.964,0.969,0.99,0.964,0.969,0.989
Cricket,1,1,0.986,0.986,0.972,0.986,1,1,0.986,0.986,0.958,1,0.944,0.986,1,0.944,0.986,1
DuckDuckGeese,0.6,0.66,0.58,0.62,0.52,0.6,0.58,0.6,0.64,0.64,0.575,0.575,0.275,0.55,0.6,0.275,0.55,0.6
EigenWorms,0.893,0.924,0.901,0.939,0.931,0.939,0.901,0.908,0.931,0.931,0.489,0.89,0.55,0.603,0.618,0.549,,0.618
Epilepsy,0.971,0.978,0.971,0.978,1,1,0.971,0.978,0.971,0.978,0.971,1,0.667,0.978,0.964,0.666,0.978,0.964
EthanolConcentration,0.354,0.365,0.251,0.281,0.297,0.304,0.27,0.285,0.224,0.247,0.323,0.43,0.293,0.304,0.323,0.293,,0.323
ERing,0.922,0.948,0.907,0.948,0.93,0.937,0.919,0.956,0.911,0.937,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133
FaceDetection,0.531,0.535,0.542,0.546,0.581,0.581,0.585,0.586,0.68,0.686,0.556,0.545,0.519,0.513,0.529,0.519,0.5,0.529
FingerMovements,0.51,0.52,0.51,0.52,0.44,0.47,0.57,0.61,0.56,0.58,0.53,0.49,0.55,0.52,0.53,0.55,0.52,0.53
HandMovementDirection,0.297,0.324,0.284,0.392,0.297,0.297,0.5,0.514,0.405,0.446,0.378,0.365,0.279,0.306,0.231,0.278,0.306,0.231
Handwriting,0.593,0.6,0.601,0.604,0.622,0.649,0.659,0.674,0.668,0.693,0.357,0.605,0.371,0.509,0.607,0.2,0.316,0.286
Heartbeat,0.776,0.771,0.717,0.732,0.741,0.761,0.761,0.771,0.751,0.785,0.751,0.727,0.62,0.659,0.717,0.619,0.658,0.717
InsectWingbeat,0.672,0.676,0.661,0.666,0.693,0.696,0.671,0.676,0.656,0.658,0.208,,0.128,,0.115,0.128,,
JapaneseVowels,0.995,0.995,0.992,0.992,0.986,0.989,0.992,0.995,0.978,0.981,0.965,0.973,0.924,0.959,0.949,0.924,0.959,0.949
Libras,0.978,0.978,0.978,0.978,0.961,0.967,0.939,0.95,0.917,0.944,0.85,0.878,0.833,0.894,0.872,0.833,0.894,0.87
LSST,0.628,0.64,0.486,0.539,0.652,0.659,0.612,0.649,0.588,0.589,0.568,0.59,0.456,0.575,0.551,0.456,0.575,0.551
MotorImagery,0.53,0.58,0.53,0.62,0.49,0.53,0.54,0.55,0.5,0.49,0.59,0.5,0.51,0.39,0.5,0.51,,0.5
PenDigits,0.985,0.985,0.986,0.985,0.989,0.99,0.981,0.983,0.985,0.985,0.98,0.948,0.973,0.939,0.977,0.973,0.939,0.977
PEMS-SF,0.792,0.798,0.792,0.821,0.786,0.815,0.757,0.775,0.815,0.821,0.751,,0.705,0.734,0.711,0.705,0.734,0.711
RacketSports,0.882,0.888,0.895,0.908,0.928,0.934,0.888,0.901,0.895,0.901,0.868,0.934,0.868,0.842,0.803,0.868,0.842,0.803
SelfRegulationSCP1,0.802,0.823,0.887,0.901,0.799,0.836,0.833,0.894,0.836,0.881,0.652,0.71,0.771,0.765,0.775,0.771,0.765,0.775
SelfRegulationSCP2,0.533,0.539,0.45,0.472,0.45,0.506,0.506,0.528,0.517,0.528,0.55,0.46,0.483,0.533,0.539,0.483,0.533,0.539
StandWalkJump,0.333,0.467,0.333,0.467,0.6,0.6,0.4,0.467,0.4,0.533,0.4,0.333,0.2,0.333,0.2,0.2,0.333,0.2
UWaveGestureLibrary,0.878,0.894,0.887,0.887,0.869,0.872,0.916,0.922,0.903,0.916,0.894,0.916,0.881,0.869,0.903,0.881,0.868,0.903
AvgRank,6.967,4.833,8.667,5.867,8.533,5.133,6.233,3.933,6.4,4.433,9.3,9.035,13.967,11.966,11.133,14.233,11.885,11.448